timestamp,stall,product,price
2026-04-20 13:10:33.187480,Stall 1,tomato,606.4939304164068
2026-04-20 13:10:33.187480,Stall 1,milk,328.79422585543836
2026-04-20 13:10:33.187480,Stall 1,tilapia,638.8744329071843
2026-04-20 13:10:33.187480,Stall 1,banana,198.4073798930502
2026-04-20 13:10:33.187480,Stall 2,tomato,519.7707621531862
2026-04-20 13:10:33.187480,Stall 2,milk,352.8863497499069
2026-04-20 13:10:33.187480,Stall 2,tilapia,722.5697147836132
2026-04-20 13:10:33.187480,Stall 2,banana,234.18606169744479
2026-04-20 13:10:33.187480,Stall 3,tomato,615.4912044094688
2026-04-20 13:10:33.187480,Stall 3,milk,401.32041862795154
2026-04-20 13:10:33.187480,Stall 3,tilapia,854.9820691817151
2026-04-20 13:10:33.187480,Stall 3,banana,202.54602427918604
2026-04-20 13:10:33.187480,Stall 4,tomato,578.7211955963553
2026-04-20 13:10:33.187480,Stall 4,milk,401.76291051403405
2026-04-20 13:10:33.187480,Stall 4,tilapia,764.2771329864203
2026-04-20 13:10:33.187480,Stall 4,banana,242.75696057741013
2026-04-20 13:10:33.187480,Stall 5,tomato,540.3817090973594
2026-04-20 13:10:33.187480,Stall 5,milk,400.8942954973862
2026-04-20 13:10:33.187480,Stall 5,tilapia,842.1565598436478
2026-04-20 13:10:33.187480,Stall 5,banana,212.9968991051153
2026-04-20 13:10:33.187480,Stall 6,tomato,688.0244811438008
2026-04-20 13:10:33.187480,Stall 6,milk,406.4579977749571
2026-04-20 13:10:33.187480,Stall 6,tilapia,747.039722320789
2026-04-20 13:10:33.187480,Stall 6,banana,222.93561736052482
2026-04-20 13:10:33.187480,Stall 7,tomato,554.1581180079934
2026-04-20 13:10:33.187480,Stall 7,milk,379.0621511502156
2026-04-20 13:10:33.187480,Stall 7,tilapia,830.0842506561454
2026-04-20 13:10:33.187480,Stall 7,banana,199.74337657236788
2026-04-20 13:10:33.187480,Stall 8,tomato,683.9531986119963
2026-04-20 13:10:33.187480,Stall 8,milk,354.89523206813743
2026-04-20 13:10:33.187480,Stall 8,tilapia,822.7423232130599
2026-04-20 13:10:33.187480,Stall 8,banana,202.78610554257094
2026-04-20 13:10:33.187480,Stall 9,tomato,668.2127136143176
2026-04-20 13:10:33.187480,Stall 9,milk,368.8716375979453
2026-04-20 13:10:33.187480,Stall 9,tilapia,647.6571880517038
2026-04-20 13:10:33.187480,Stall 9,banana,210.1266627576266
2026-04-20 13:10:33.187480,Stall 10,tomato,537.9715410798756
2026-04-20 13:10:33.187480,Stall 10,milk,319.2103966129952
2026-04-20 13:10:33.187480,Stall 10,tilapia,711.7153846917554
2026-04-20 13:10:33.187480,Stall 10,banana,200.26050440234118
2026-04-20 13:10:33.187480,Stall 11,tomato,640.3920362854005
2026-04-20 13:10:33.187480,Stall 11,milk,371.55183805172635
2026-04-20 13:10:33.187480,Stall 11,tilapia,657.7439878139671
2026-04-20 13:10:33.187480,Stall 11,banana,241.14499651928983
2026-04-20 13:10:33.187480,Stall 12,tomato,545.3898272915452
2026-04-20 13:10:33.187480,Stall 12,milk,417.1645121489348
2026-04-20 13:10:33.187480,Stall 12,tilapia,753.8024620976325
2026-04-20 13:10:33.187480,Stall 12,banana,201.4692861053718
2026-04-20 13:40:33.187480,Stall 1,tomato,575.8504480038869
2026-04-20 13:40:33.187480,Stall 1,milk,353.82326135295756
2026-04-20 13:40:33.187480,Stall 1,tilapia,752.4676511027195
2026-04-20 13:40:33.187480,Stall 1,banana,234.96778239050687
2026-04-20 13:40:33.187480,Stall 2,tomato,628.7072550489105
2026-04-20 13:40:33.187480,Stall 2,milk,389.6232682546178
2026-04-20 13:40:33.187480,Stall 2,tilapia,844.8807494746967
2026-04-20 13:40:33.187480,Stall 2,banana,227.39475232971628
2026-04-20 13:40:33.187480,Stall 3,tomato,644.4324951194217
2026-04-20 13:40:33.187480,Stall 3,milk,364.08313881362693
2026-04-20 13:40:33.187480,Stall 3,tilapia,820.2167863876156
2026-04-20 13:40:33.187480,Stall 3,banana,241.89746003336938
2026-04-20 13:40:33.187480,Stall 4,tomato,628.9069383041594
2026-04-20 13:40:33.187480,Stall 4,milk,354.7926811006314
2026-04-20 13:40:33.187480,Stall 4,tilapia,734.0231237765898
2026-04-20 13:40:33.187480,Stall 4,banana,209.23622542308414
2026-04-20 13:40:33.187480,Stall 5,tomato,603.9816630218287
2026-04-20 13:40:33.187480,Stall 5,milk,321.1944314399353
2026-04-20 13:40:33.187480,Stall 5,tilapia,787.9582898080828
